Country,Region,Male,Female,Total_Pop,Life_Expectancy_Male,Life_Expectancy_Female,Life_Expectancy_Both,Health_Exp_Per_Capita,Health_Expend_of_GDP,Child_Mortality_Rate,Heart_Disease_Male,Heart_Disease_Female,Heart_Disease_Total
Iran (Islamic Republic of),Eastern Mediterranean,132898,131093,263991,67.3,71.4,69.3,112,3.1,1.2,30.3,22.6,26.4
Iraq,Eastern Mediterranean,40816,40347,81163,74.6,76.9,75.7,415,8.1,0.9,16,13.7,14.8
Ireland,Europe,19376,18899,38275,67.5,72.2,69.9,153,3.3,1.7,24.6,18.3,21.3
Israel,Europe,2362,2400,4762,79.7,83.4,81.5,4759,7.4,0.2,11.9,8.7,10.3
Italy,Europe,4133,4188,8322,80.3,84.2,82.3,2837,7.3,0.2,11.8,7.5,9.6
Jamaica,Americas,28929,30431,59360,80.5,84.9,82.7,2739,8.9,0.2,12,7.2,9.5
Japan,Western Pacific,1438,1452,2890,73.6,78.5,76,296,6.1,1.1,16,13.4,14.7
Jordan,Eastern Mediterranean,62256,65228,127484,81.1,87.1,84.2,4233,10.9,0.1,11.2,5.7,8.4
Kazakhstan,Europe,4913,4789,9702,72.7,76,74.3,224,5.5,1,22.8,15.6,19.2
Kenya,Africa,8817,9388,18205,66.8,75.3,71.1,262,3.5,0.5,36.8,18.5,26.8
Kiribati,Western Pacific,24701,24999,49700,64.4,68.9,66.7,66,4.5,2.1,13.9,13,13.4
Kuwait,Eastern Mediterranean,57,59,116,63.6,68.6,66.1,188,11.9,2.3,34.4,22.9,28.4
Kyrgyzstan,Europe,2375,1761,4137,73.9,76,74.8,1068,3.9,0.4,19.1,14.7,17.4
Lao People's Democratic Republic,Western Pacific,2998,3048,6045,67.7,75.2,71.4,73,6.6,1.1,33.4,17.3,24.9
Latvia,Europe,3421,3437,6858,64.2,67.4,65.8,55,2.4,2.8,29.3,24.9,27
Lebanon,Eastern Mediterranean,895,1054,1950,70,79.6,75.1,874,6.2,0.2,32,13.4,21.9
Lesotho,Africa,3051,3031,6082,75.1,77.7,76.3,662,8,0.5,20.3,15.2,17.9
Liberia,Africa,1084,1149,2233,51,54.6,52.9,86,8.1,3.8,28.7,25.2,26.6
Libya,Eastern Mediterranean,2387,2345,4732,62,63.9,62.9,68,9.6,2.5,17.5,17.7,17.6
Lithuania,Europe,3213,3161,6375,69,75,71.9,,,0.7,24.4,15.9,20.1
Luxembourg,Europe,1332,1559,2890,69.7,80.2,75,988,6.7,0.2,30.6,12.4,20.7
Madagascar,Africa,293,290,583,80.1,84.6,82.5,6271,6.2,0.2,12.2,7.7,10
Malawi,Africa,12752,12819,25571,64.6,67.6,66.1,24,6,1.8,24.5,21.5,22.9
Malaysia,Western Pacific,9225,9397,18622,61.4,66.8,64.2,30,9.8,2.3,18.8,14.5,16.4
Maldives,SouthEast Asia,16325,15299,31624,73.2,77.6,75.3,362,3.8,0.4,20.1,14,17.2
Mali,Africa,248,188,436,77.2,79.9,78.4,1048,10.6,0.5,16.2,10.3,13.4
Malta,Europe,9279,9263,18542,57.5,58.4,58,30,3.8,3.5,22.6,26.2,24.6
Marshall Islands,Western Pacific,216,214,431,79.6,83.3,81.4,2328,9.3,0.4,13.6,8,10.8
Mauritania,Africa,27,26,53,,,,851,23.3,1.6,,,
Mauritius,Africa,2228,2192,4420,62.6,65.2,63.9,47,4.2,3.4,18.3,18,18.1
Mexico,Americas,626,639,1265,71.6,78.1,74.8,553,5.7,0.8,27.8,17.5,22.6
Micronesia (Federated States of),Western Pacific,64312,64851,129163,74,79.2,76.6,462,5.5,0.8,17.4,14.1,15.7
Monaco,Europe,54,51,106,68.4,70.8,69.6,387,12.6,1.7,29,23.1,26.1
Mongolia,Western Pacific,19,20,39,,,,2940,1.7,0.2,,,
Montenegro,Europe,1521,1554,3076,65.7,74.2,69.8,141,3.8,0.9,38.8,21.9,30.2
Morocco,Eastern Mediterranean,310,319,629,74.4,79.2,76.8,532,7.6,0.2,26.4,14.9,20.6
Mozambique,Africa,17701,18039,35740,74.8,77,76,171,5.8,1.4,13.3,11.3,12.4
Myanmar,SouthEast Asia,14490,15179,29669,57.7,62.3,60.1,19,5.1,2.7,19.6,17.4,18.4
Namibia,Africa,26068,27303,53371,64.6,68.9,66.8,62,5.1,2.4,27.3,21.5,24.2
Nauru,Western Pacific,1233,1301,2534,61.1,66.1,63.7,403,9.1,1.8,24.7,18.7,21.3
Nepal,SouthEast Asia,6,6,11,,,,1012,11.1,2.1,,,
Netherlands,Europe,14226,15079,29305,68.8,71.6,70.2,45,6.3,2.1,24.8,19.2,21.8
New Zealand,Western Pacific,8476,8560,17036,80,83.2,81.6,4742,10.4,0.2,12.7,9.7,11.2
Nicaragua,Americas,2314,2392,4706,80.5,84,82.2,3745,9.2,0.3,11.6,8.6,10.1
Niger,Africa,3065,3152,6218,72.5,78.4,75.5,188,8.7,0.7,14.8,13.7,14.2
Nigeria,Africa,10770,10708,21477,59,60.8,59.8,23,6.2,2.6,20.1,19.8,20
Niue,Western Pacific,96729,94157,190886,54.7,55.7,55.2,79,3.6,3.3,20.9,23.9,22.5
Norway,Europe,1,1,2,,,,1010,7.3,1.1,,,
Oman,Eastern Mediterranean,1041,1042,2083,,,,328,6.3,1.1,25.3,15.4,20.3
Pakistan,Eastern Mediterranean,2677,2629,5305,80.6,84.3,82.5,7478,10.5,0.2,10.7,7.7,9.2
Palau,Western Pacific,3053,1584,4636,75.3,79.5,77,648,4.3,0.5,19.4,15.5,17.8
Panama,Americas,101199,95817,197016,65.7,67.4,66.5,40,2.8,4.4,26.6,22.6,24.7
Papua New Guinea,Western Pacific,11,11,22,,,,1674,11.7,0.8,,,
Paraguay,Americas,2054,2045,4099,75,81.2,78,1041,7.3,0.9,15.4,10.8,13
Peru,Americas,4197,4054,8251,63.6,68.3,65.9,55,2,2.4,33.6,26.6,30
Philippines,Western Pacific,3455,3356,6811,72.4,76.1,74.2,327,8,1.1,18.7,16.3,17.5
Poland,Europe,16065,16100,32165,73.4,78.3,75.9,316,5.1,0.7,14.1,11.2,12.6
Portugal,Europe,52801,52117,104918,66.2,72.6,69.3,129,4.4,1.4,32.8,21,26.8
